*** NumlTest_DecisionTreeTest ***
* Raw *
Pilot 1: 4 op, 20235538.35 ns, 5.0589 ms/op
Pilot 2: 8 op, 41648723.8 ns, 5.2061 ms/op
Pilot 3: 16 op, 84351037.9 ns, 5.2719 ms/op
Pilot 4: 32 op, 179722603.64 ns, 5.6163 ms/op
Pilot 5: 64 op, 295882162.1 ns, 4.6232 ms/op
IdleWarmup 1: 64 op, 3569.98 ns, 55.7809 ns/op
IdleWarmup 2: 64 op, 446.25 ns, 6.9727 ns/op
IdleWarmup 3: 64 op, 446.25 ns, 6.9727 ns/op
IdleWarmup 4: 64 op, 446.25 ns, 6.9727 ns/op
IdleWarmup 5: 64 op, 446.25 ns, 6.9727 ns/op
IdleTarget 1: 64 op, 446.25 ns, 6.9727 ns/op
IdleTarget 2: 64 op, 446.25 ns, 6.9727 ns/op
IdleTarget 3: 64 op, 446.25 ns, 6.9727 ns/op
IdleTarget 4: 64 op, 446.25 ns, 6.9727 ns/op
IdleTarget 5: 64 op, 892.49 ns, 13.9452 ns/op
IdleTarget 6: 64 op, 1338.74 ns, 20.9178 ns/op
IdleTarget 7: 64 op, 446.25 ns, 6.9727 ns/op
IdleTarget 8: 64 op, 446.25 ns, 6.9727 ns/op
IdleTarget 9: 64 op, 446.25 ns, 6.9727 ns/op
IdleTarget 10: 64 op, 446.25 ns, 6.9727 ns/op
MainWarmup 1: 64 op, 217269866.83 ns, 3.3948 ms/op
MainWarmup 2: 64 op, 220222686.42 ns, 3.4410 ms/op
MainWarmup 3: 64 op, 283173033.8 ns, 4.4246 ms/op
MainWarmup 4: 64 op, 281625893.78 ns, 4.4004 ms/op
MainWarmup 5: 64 op, 277506137.02 ns, 4.3360 ms/op
MainWarmup 6: 64 op, 246130922.76 ns, 3.8458 ms/op
MainWarmup 7: 64 op, 227218061.96 ns, 3.5503 ms/op
MainWarmup 8: 64 op, 236485729.67 ns, 3.6951 ms/op
MainTarget 1: 64 op, 213025160.77 ns, 3.3285 ms/op
MainTarget 2: 64 op, 233731490.21 ns, 3.6521 ms/op
MainTarget 3: 64 op, 255902850.14 ns, 3.9985 ms/op
MainTarget 4: 64 op, 260165406.09 ns, 4.0651 ms/op
MainTarget 5: 64 op, 291386218.72 ns, 4.5529 ms/op
MainTarget 6: 64 op, 239708082.75 ns, 3.7454 ms/op
MainTarget 7: 64 op, 223769907.66 ns, 3.4964 ms/op
MainTarget 8: 64 op, 201240211 ns, 3.1444 ms/op
MainTarget 9: 64 op, 304177456.56 ns, 4.7528 ms/op
MainTarget 10: 64 op, 266190193.35 ns, 4.1592 ms/op
MainTarget 11: 64 op, 292297009.83 ns, 4.5671 ms/op
MainTarget 12: 64 op, 262515345.34 ns, 4.1018 ms/op
MainTarget 13: 64 op, 293737496.7 ns, 4.5896 ms/op
MainTarget 14: 64 op, 337309993.4 ns, 5.2705 ms/op
MainTarget 15: 64 op, 254070557.97 ns, 3.9699 ms/op
MainTarget 16: 64 op, 277503459.53 ns, 4.3360 ms/op
MainTarget 17: 64 op, 273315426.91 ns, 4.2706 ms/op
MainTarget 18: 64 op, 254770720.27 ns, 3.9808 ms/op
MainTarget 19: 64 op, 250825000.03 ns, 3.9191 ms/op
MainTarget 20: 64 op, 301881067.01 ns, 4.7169 ms/op
MainTarget 21: 64 op, 213395099.93 ns, 3.3343 ms/op
MainTarget 22: 64 op, 281831167.62 ns, 4.4036 ms/op
MainTarget 23: 64 op, 264884026.97 ns, 4.1388 ms/op
MainTarget 24: 64 op, 279009098.54 ns, 4.3595 ms/op
MainTarget 25: 64 op, 332715429.32 ns, 5.1987 ms/op
MainTarget 26: 64 op, 299360214.98 ns, 4.6775 ms/op
MainTarget 27: 64 op, 248953884.34 ns, 3.8899 ms/op
MainTarget 28: 64 op, 285867029.85 ns, 4.4667 ms/op
MainTarget 29: 64 op, 306871898.86 ns, 4.7949 ms/op
MainTarget 30: 64 op, 307431493.2 ns, 4.8036 ms/op
MainTarget 31: 64 op, 241637210.61 ns, 3.7756 ms/op
MainTarget 32: 64 op, 304961067.14 ns, 4.7650 ms/op
MainTarget 33: 64 op, 272035142.88 ns, 4.2505 ms/op
MainTarget 34: 64 op, 252651490.98 ns, 3.9477 ms/op
MainTarget 35: 64 op, 309049586.57 ns, 4.8289 ms/op
MainTarget 36: 64 op, 287120092.78 ns, 4.4863 ms/op
MainTarget 37: 64 op, 249133275.83 ns, 3.8927 ms/op
MainTarget 38: 64 op, 197348040.46 ns, 3.0836 ms/op
MainTarget 39: 64 op, 206174369.42 ns, 3.2215 ms/op
MainTarget 40: 64 op, 205980698.01 ns, 3.2184 ms/op
MainTarget 41: 64 op, 197308770.68 ns, 3.0829 ms/op
MainTarget 42: 64 op, 279917212.17 ns, 4.3737 ms/op
MainTarget 43: 64 op, 316347964.15 ns, 4.9429 ms/op
MainTarget 44: 64 op, 254363742.57 ns, 3.9744 ms/op
MainTarget 45: 64 op, 261334128.25 ns, 4.0833 ms/op
MainTarget 46: 64 op, 256063499.23 ns, 4.0010 ms/op
MainTarget 47: 64 op, 307793846.16 ns, 4.8093 ms/op
MainTarget 48: 64 op, 307428369.47 ns, 4.8036 ms/op
MainTarget 49: 64 op, 281836522.59 ns, 4.4037 ms/op
MainTarget 50: 64 op, 307925042.92 ns, 4.8113 ms/op
MainTarget 51: 64 op, 304651817.63 ns, 4.7602 ms/op
MainTarget 52: 64 op, 253571653.29 ns, 3.9621 ms/op
